Days.Elapsed,dil,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTriDA,PFTeDA,PFPeDA,PFHxDA,PFHpDA,PFOcDA,FBEA,FHEA,FOEA,FDEA,FBUEA,FHUEA,FOUEA,FDUEA,FPrPA,FPePA,FHpPA,FNPA,PFBS,PFPS,PFHxS,PFHpS,PFOS,PFNS,PFDS,FTS.4.2,FTS.6.2,FTS.8.2,FBSAA,FPeSAA,FHxSAA,FHpSAA,FOSAA,MeFBSAA,MeFPeSAA,MeFHxSAA,MeFHpSAA,MeFOSAA,EtFBSAA,EtFPeSAA,EtFHxSAA,EtFHpSAA,EtFOSAA,PFPi.4.4,PFPi.4.6,PFPi.6.6,PFPi.8.6,PFPi.8.8,diPAP.4.2,diPAP.4.2.6.2,diPAP.6.2,diPAP.6.2.8.2,diPAP.8.2,diPAP.8.2.10.2,diPAP.10.2,FTMAP.6.2,FTMAP.6.2.8.2,FTMAP.8.2,FTMAP.8.2.10.2,FTMAP.10.2,SAmPAP,Reactor,Season,biotype,crossed_factors,dummy_rep,phase
174,1,41.7833237813175,25.267599999999998,116.99180000000001,69.5796,65.6818,1.41421356237309,1.41421356237309,1.41421356237309,3.1708,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,4.539,0.824217381620061,0.2,5.7712,0.2,4.715999999999999,0.2,4.703399999999999,0.2,0.193,0.503424424824982,2.6866,0.2,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,2.666,1.41421356237309,2.9144,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P8,Winter,abio,Winter_abio,1,decline
230,1,41.7833237813175,27.990800000000004,138.1676,72.3654,78.32579999999999,6.7376000000000005,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,7.2316,0.824217381620061,0.2,5.0148,0.2,4.9075999999999995,0.2,4.6924,0.2,0.193,0.503424424824982,5.8984,0.2,0.2,0.2,0.2,0.2,0.2,2.1115999999999997,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,2.6024,1.41421356237309,5.0582,6.308800000000001,5.5988,0.2,0.2,0.2,0.2,0.2,0.2,P8,Winter,abio,Winter_abio,1,decline
273,1,31.98,26.842,121.05099999999999,83.99880000000002,72.243,3.7592,1.41421356237309,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,7.3995999999999995,0.824217381620061,0.2,4.606999999999999,0.2,11.844199999999999,0.2,3.013,0.2,0.193,0.503424424824982,6.441,1.41421356237309,0.2,0.2,0.2,0.2,0.2,2.6537999999999995,0.2,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,5.312,4.4807999999999995,11.785599999999999,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P8,Winter,abio,Winter_abio,1,decline
0,1,41.7833237813175,18.6608937893972,44.019999999999996,47.13999999999999,60.16,7.4399999999999995,2.56,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,12.894,1.2,1.2,0.2,14.58,1.41421356237309,0.2,0.2,11.04,0.824217381620061,0.2,1.82741390613705,0.2,10.239999999999998,0.2,14.48,0.2,0.193,0.503424424824982,6.94,1.41421356237309,0.2,0.2,0.2,0.2,0.2,2.5599999999999996,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,71.3,43.699999999999996,20.279999999999998,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P9,Winter,abio,Winter_abio,2,lag
14,1,38.919,25.155000000000005,76.64,75.40986666666667,60.28739999999999,7.002400000000001,2.08,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,1.41421356237309,0.2,0.2,0.2,12.327599999999999,0.824217381620061,0.2,3.6995999999999998,0.2,11.947733333333332,0.2,11.663333333333334,0.2,0.193,0.503424424824982,5.3488,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.378533333333333,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,84.96826666666665,117.81346666666666,91.3944,4.379066666666667,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.41421356237309,P9,Winter,abio,Winter_abio,2,lag
27,1,41.7833237813175,16.36,86.60000000000001,57.32,56.1,4.74,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,17.28,0.824217381620061,0.2,2.76,0.2,13.56,0.2,5.879999999999999,0.2,0.193,0.503424424824982,5.879999999999999,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.84,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,19.200000000000003,13.36,18.82,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,lag
62,1,24.799999999999997,19.68,82.34,72.14779999999999,63.78906666666668,5.959999999999999,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,12.92,0.824217381620061,0.2,4.5200000000000005,0.2,9.659466666666667,0.2,5.42,0.2,0.193,0.503424424824982,5.5576,1.41421356237309,0.2,0.2,0.2,0.2,0.2,4.6,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,2.481,1.41421356237309,4.006799999999999,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,peak
119,1,21.439999999999998,28.720000000000006,101.28,71.84,65.26,3.5902666666666665,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,8.755999999999998,0.824217381620061,0.2,5.637466666666666,0.2,12.237599999999999,0.2,3.575,0.2,0.193,0.503424424824982,9.630199999999999,1.41421356237309,0.2,0.2,0.2,0.2,0.2,3.48,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,4.6844,2.9799999999999995,10.348133333333333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,peak
174,1,41.7833237813175,25.839999999999996,124.34,89,72.94,3.06,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,12.62,0.824217381620061,0.2,5.88,0.2,17.66,0.2,3.54,0.2,0.193,0.503424424824982,7.18,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.26,1.41421356237309,0.2,0.2,0.2,2.32,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,10.120000000000001,8.04,16.72,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,decline
230,1,41.7833237813175,24.200000000000003,107.68,83.84,64.34,3.38,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,8.06,0.824217381620061,0.2,5.08,0.2,15.82,0.2,2.7800000000000002,0.2,0.193,0.503424424824982,7.6,1.41421356237309,0.2,0.2,0.2,0.2,0.2,3.7599999999999993,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,4.74,2.0399999999999996,4.58,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,decline
273,1,41.7833237813175,21.84,105,77.68,63.85999999999999,4.56,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,10.48,0.824217381620061,0.2,4.9,0.2,14.36,0.2,1.35057395206631,0.2,0.193,0.503424424824982,6.760000000000001,1.41421356237309,0.2,0.2,0.2,0.2,0.2,5.44,1.41421356237309,0.2,0.2,0.2,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,2.16,1.41421356237309,4.0200000000000005,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,P9,Winter,abio,Winter_abio,2,decline
